#{"t_start": 1763674313.4397767, "env_id": "None"}
r,l,t
-8273.719047,1,0.927144
-5453.791188,1,0.927614
-7672.704507,1,0.928066
-8370.60935,1,0.928529
-7768.391286,1,0.929039
-10115.007678,1,0.929534
-5128.363236,1,0.930033
-7215.238923,1,0.930544
-10173.728338,1,0.931042
-6338.39241,1,0.931542
-9484.905624,1,0.932036
-5792.172191,1,0.932548
-9557.759757,1,0.933033
-5913.006345,1,0.933535
-9632.471875,1,0.934025
-9580.968378,1,0.934538
-9505.820964,1,0.935017
-8738.73269,1,0.935526
-8042.308706,1,0.936018
-6914.767895,1,0.936529
-5515.623834,1,0.93702
-9922.312189,1,0.937519
-8810.949996,1,0.938015
-7230.491064,1,0.938513
-5159.897139,1,0.939006
-6493.120889,1,0.939513
-6773.108088,1,0.940003
-13091.828263,1,0.940509
-6552.92376,1,0.941004
-6441.192356,1,0.941509
-5260.402905,1,0.941992
-9842.324203,1,0.942498
-8799.594624,1,0.943002
-7025.469232,1,0.943512
-8763.254688,1,0.944003
-6306.22485,1,0.944509
-12523.886322,1,0.945003
-5788.823387,1,0.945503
-10028.025974,1,0.945954
-5839.567656,1,0.946435
-8008.953527,1,0.946894
-7966.898003,1,0.947358
-9141.002627,1,0.947811
-8547.709855,1,0.948275
-6429.521413,1,0.948735
-10926.646729,1,0.949194
-7317.024501,1,0.949646
-9327.210879,1,0.950095
-6911.923153,1,0.950555
-5456.111252,1,0.951003
-8847.805476,1,0.951468
-6363.598489,1,0.951927
-6255.504637,1,0.952392
-8595.38438,1,0.952846
-8447.776409,1,0.953307
-7171.739709,1,0.953768
-9058.369672,1,0.954231
-7139.645173,1,0.954685
-5948.896437,1,0.955139
-8889.421353,1,0.955607
-7368.291181,1,0.956059
-9415.542873,1,0.956524
-6275.717299,1,0.956975
-5287.336044,1,0.957438
-6822.115185,1,0.957886
-6466.599563,1,0.958346
-5689.502096,1,0.958805
-6618.26422,1,0.959271
-5854.36269,1,0.959726
-7794.050164,1,0.960178
-9144.607591,1,0.960645
-9670.647303,1,0.961094
-8422.78695,1,0.961559
-7984.549074,1,0.962009
-7575.822196,1,0.962472
-5232.867723,1,0.962925
-4828.865127,1,0.963395
-6831.125598,1,0.963895
-8015.40737,1,0.964391
-7208.147987,1,0.964931
-7069.124461,1,0.965445
-7261.637934,1,0.965902
-6449.678074,1,0.966365
-8318.68507,1,0.966817
-6304.773794,1,0.96728
-6892.56105,1,0.967736
-5966.615475,1,0.968192
-5750.388838,1,0.968648
-7722.487244,1,0.9691
-6864.768565,1,0.969565
-9174.577462,1,0.970013
-10747.197968,1,0.970475
-6106.542004,1,0.970932
-8825.109602,1,0.971396
-10142.283003,1,0.971847
-5952.864661,1,0.972306
-8345.766264,1,0.972753
-7511.884163,1,0.973211
-9245.624201,1,0.973661
-8952.401271,1,0.974108
-6285.08212,1,0.974564
-5401.812669,1,0.975014
-6583.167424,1,0.975476
-9054.939531,1,0.975928
-6169.146916,1,0.97639
-8099.74953,1,0.976839
-7870.518219,1,0.977297
-8793.588633,1,0.977752
-4809.507346,1,0.97821
-7386.385575,1,0.978659
-6263.10689,1,0.979103
-10212.680041,1,0.979566
-5708.80021,1,0.980015
-8245.366259,1,0.980498
-7937.752603,1,0.981009
-7143.140388,1,0.981514
-6360.34909,1,0.981995
-7410.030845,1,0.982498
-6288.290156,1,0.983005
-6519.987961,1,0.983519
